model1646324752,1646324753.757,0.55,0.2489,0.46,0.2504
model1646324752,1646324753.774,0.56,0.2474,0.48,0.2512
model1646324752,1646324753.792,0.53,0.2479,0.5,0.2499
model1646324752,1646324753.809,0.61,0.2416,0.44,0.2553
model1646324752,1646324753.826,0.54,0.2455,0.52,0.2477
model1646324752,1646324753.843,0.42,0.2647,0.67,0.2347
model1646324752,1646324753.862,0.56,0.2522,0.5,0.2473
model1646324752,1646324753.88,0.59,0.2434,0.52,0.243
model1646324752,1646324753.897,0.58,0.2398,0.45,0.257
model1646324752,1646324753.914,0.55,0.2466,0.46,0.2593
model1646324752,1646324753.931,0.52,0.2508,0.51,0.2486
model1646324752,1646324753.948,0.53,0.2507,0.4,0.2752
model1646324752,1646324753.967,0.5,0.2529,0.45,0.2574
model1646324752,1646324753.985,0.51,0.2506,0.44,0.2617
model1646324752,1646324754.002,0.53,0.2485,0.49,0.2532
model1646324752,1646324754.02,0.5,0.2479,0.54,0.2447
model1646324752,1646324754.037,0.57,0.2443,0.54,0.2461
model1646324752,1646324754.054,0.62,0.2438,0.61,0.2433
model1646324752,1646324754.074,0.59,0.2449,0.59,0.2442
model1646324752,1646324754.091,0.64,0.2412,0.57,0.2468
model1646324752,1646324754.108,0.57,0.2465,0.56,0.2438
model1646324752,1646324754.125,0.49,0.2482,0.58,0.2438
model1646324752,1646324754.142,0.58,0.2428,0.58,0.242
model1646324752,1646324754.16,0.56,0.2472,0.47,0.2529
model1646324752,1646324754.179,0.53,0.2494,0.53,0.2476
model1646324752,1646324754.196,0.48,0.25,0.58,0.247
model1646324752,1646324754.214,0.54,0.2444,0.61,0.2415
model1646324752,1646324754.232,0.49,0.2463,0.57,0.2415
model1646324752,1646324754.249,0.57,0.2473,0.55,0.2441
model1646324752,1646324754.272,0.57,0.2452,0.64,0.2401
model1646324752,1646324754.289,0.54,0.2436,0.49,0.2494
model1646324752,1646324754.306,0.55,0.2459,0.56,0.2442
model1646324752,1646324754.324,0.68,0.2356,0.58,0.2385
model1646324752,1646324754.341,0.61,0.2417,0.54,0.2582
model1646324752,1646324754.358,0.52,0.2469,0.45,0.2588
model1646324752,1646324754.378,0.56,0.2375,0.49,0.264
model1646324752,1646324754.395,0.55,0.2468,0.55,0.2424
model1646324752,1646324754.412,0.52,0.2545,0.42,0.2591
model1646324752,1646324754.429,0.47,0.262,0.56,0.2425
model1646324752,1646324754.446,0.6,0.2381,0.59,0.2376
model1646324752,1646324754.464,0.63,0.2383,0.59,0.2463
model1646324752,1646324754.483,0.6,0.2387,0.67,0.2194
model1646324752,1646324754.501,0.63,0.2222,0.57,0.2341
model1646324752,1646324754.518,0.59,0.2412,0.6,0.2449
model1646324752,1646324754.535,0.61,0.2291,0.54,0.2474
model1646324752,1646324754.552,0.51,0.2464,0.51,0.253
model1646324752,1646324754.569,0.6,0.2409,0.5,0.2597
model1646324752,1646324754.588,0.63,0.2242,0.69,0.2253
model1646324752,1646324754.605,0.58,0.2367,0.64,0.2297
model1646324752,1646324754.623,0.59,0.2339,0.6,0.2301
model1646324752,1646324754.64,0.65,0.2328,0.57,0.2365
model1646324752,1646324754.657,0.63,0.2385,0.58,0.2465
model1646324752,1646324754.674,0.71,0.2074,0.55,0.244
model1646324752,1646324754.693,0.51,0.2742,0.61,0.2434
model1646324752,1646324754.711,0.57,0.2345,0.59,0.2359
